datetime,src,dst,channel,rssi,pdr
2018-01-11 14:08:48.919,00-17-0d-00-00-38-07-18,,13,-93,79.66
2018-01-11 14:08:48.919,00-17-0d-00-00-38-07-18,,14,-93,85.83
2018-01-11 14:08:48.919,00-17-0d-00-00-38-07-18,,15,-93,74.14
2018-01-11 14:08:48.919,00-17-0d-00-00-38-07-18,,16,-83,84.55
2018-01-11 14:08:48.919,00-17-0d-00-00-38-07-18,,17,-92,52.78
2018-01-11 14:08:48.919,00-17-0d-00-00-38-07-18,,18,-86,71.88
2018-01-11 14:08:48.919,00-17-0d-00-00-38-07-18,,19,-91,85.71
2018-01-11 14:08:48.919,00-17-0d-00-00-38-07-18,,20,-93,92.5
2018-01-11 14:08:48.919,00-17-0d-00-00-38-07-18,,21,-90,85.19
2018-01-11 14:08:48.919,00-17-0d-00-00-38-07-18,,22,-92,82.14
2018-01-11 14:08:48.919,00-17-0d-00-00-38-07-18,,23,-93,79.44
2018-01-11 14:08:48.919,00-17-0d-00-00-38-07-18,,24,-93,76.86
2018-01-11 14:08:48.919,00-17-0d-00-00-38-07-18,,25,-92,92.24
2018-01-11 14:08:55.246,00-17-0d-00-00-38-04-3b,,11,-90,66.39
2018-01-11 14:08:55.246,00-17-0d-00-00-38-04-3b,,12,-91,83.7
2018-01-11 14:08:55.246,00-17-0d-00-00-38-04-3b,,13,-90,81.67
2018-01-11 14:08:55.246,00-17-0d-00-00-38-04-3b,,14,-86,64.52
2018-01-11 14:08:55.246,00-17-0d-00-00-38-04-3b,,15,-89,72.73
2018-01-11 14:08:55.246,00-17-0d-00-00-38-04-3b,,16,-71,81.15
2018-01-11 14:08:55.246,00-17-0d-00-00-38-04-3b,,17,-84,67.77
2018-01-11 14:08:55.246,00-17-0d-00-00-38-04-3b,,18,-77,77.05
2018-01-11 14:08:55.246,00-17-0d-00-00-38-04-3b,,19,-85,58.2
2018-01-11 14:08:55.246,00-17-0d-00-00-38-04-3b,,20,-80,70.31
2018-01-11 14:08:55.246,00-17-0d-00-00-38-04-3b,,21,-90,66.07
2018-01-11 14:08:55.246,00-17-0d-00-00-38-04-3b,,22,-87,71.09
2018-01-11 14:08:55.246,00-17-0d-00-00-38-04-3b,,23,-89,77.04
2018-01-11 14:08:55.246,00-17-0d-00-00-38-04-3b,,24,-89,78.15
2018-01-11 14:08:55.246,00-17-0d-00-00-38-04-3b,,25,-89,78.05
2018-01-11 14:08:58.460,00-17-0d-00-00-38-03-dd,,11,-91,70.49
2018-01-11 14:08:58.460,00-17-0d-00-00-38-03-dd,,12,-91,83.08
2018-01-11 14:08:58.460,00-17-0d-00-00-38-03-dd,,13,-91,70.9
2018-01-11 14:08:58.460,00-17-0d-00-00-38-03-dd,,14,-88,43.75
2018-01-11 14:08:58.460,00-17-0d-00-00-38-03-dd,,15,-89,66.12
2018-01-11 14:08:58.460,00-17-0d-00-00-38-03-dd,,16,-77,63.25
2018-01-11 14:08:58.460,00-17-0d-00-00-38-03-dd,,17,-76,63.04
2018-01-11 14:08:58.460,00-17-0d-00-00-38-03-dd,,18,-85,70.37
2018-01-11 14:08:58.460,00-17-0d-00-00-38-03-dd,,19,-84,69.47
2018-01-11 14:08:58.460,00-17-0d-00-00-38-03-dd,,20,-79,81.12
2018-01-11 14:08:58.460,00-17-0d-00-00-38-03-dd,,21,-86,62.96
2018-01-11 14:08:58.460,00-17-0d-00-00-38-03-dd,,22,-85,49.18
2018-01-11 14:08:58.460,00-17-0d-00-00-38-03-dd,,23,-89,69.78
2018-01-11 14:08:58.460,00-17-0d-00-00-38-03-dd,,24,-89,75.76
2018-01-11 14:08:58.460,00-17-0d-00-00-38-03-dd,,25,-89,91.11
2018-01-11 14:10:42.853,00-17-0d-00-00-38-06-45,,11,-93,40.14
2018-01-11 14:10:42.853,00-17-0d-00-00-38-06-45,,12,-93,70.55
2018-01-11 14:10:42.853,00-17-0d-00-00-38-06-45,,13,-89,81.17
2018-01-11 14:10:42.853,00-17-0d-00-00-38-06-45,,14,-89,87.8
2018-01-11 14:10:42.853,00-17-0d-00-00-38-06-45,,15,-93,76.09
2018-01-11 14:10:42.853,00-17-0d-00-00-38-06-45,,16,-91,78.2
2018-01-11 14:10:42.853,00-17-0d-00-00-38-06-45,,17,-84,77.52
2018-01-11 14:10:42.853,00-17-0d-00-00-38-06-45,,18,-93,64.89
2018-01-11 14:10:42.853,00-17-0d-00-00-38-06-45,,19,-85,89.26
2018-01-11 14:10:42.853,00-17-0d-00-00-38-06-45,,20,-88,66.39
2018-01-11 14:10:42.853,00-17-0d-00-00-38-06-45,,21,-92,51.56
2018-01-11 14:10:42.853,00-17-0d-00-00-38-06-45,,22,-93,56.06
2018-01-11 14:10:42.853,00-17-0d-00-00-38-06-45,,23,-93,43.45
2018-01-11 14:10:42.853,00-17-0d-00-00-38-06-45,,24,-90,72.39
2018-01-11 14:10:42.853,00-17-0d-00-00-38-06-45,,25,-93,59.54
2018-01-11 14:12:30.283,00-17-0d-00-00-38-05-e9,,11,-93,15.17
2018-01-11 14:12:30.283,00-17-0d-00-00-38-05-e9,,12,-92,28.57
2018-01-11 14:12:30.283,00-17-0d-00-00-38-05-e9,,13,-92,47.9
2018-01-11 14:12:30.283,00-17-0d-00-00-38-05-e9,,14,-93,58.27
2018-01-11 14:12:30.283,00-17-0d-00-00-38-05-e9,,15,-93,67.41
2018-01-11 14:12:30.283,00-17-0d-00-00-38-05-e9,,16,-92,61.87
2018-01-11 14:12:30.283,00-17-0d-00-00-38-05-e9,,17,-86,40.85
2018-01-11 14:12:30.283,00-17-0d-00-00-38-05-e9,,18,-87,52.2
2018-01-11 14:12:30.283,00-17-0d-00-00-38-05-e9,,19,-91,65.66
2018-01-11 14:12:30.283,00-17-0d-00-00-38-05-e9,,20,-93,86.39
2018-01-11 14:12:30.283,00-17-0d-00-00-38-05-e9,,21,-93,73.75
2018-01-11 14:12:30.283,00-17-0d-00-00-38-05-e9,,22,-93,73.94
2018-01-11 14:12:30.283,00-17-0d-00-00-38-05-e9,,23,-93,65.27
2018-01-11 14:12:30.283,00-17-0d-00-00-38-05-e9,,24,-81,53.8
2018-01-11 14:12:30.283,00-17-0d-00-00-38-05-e9,,25,-93,80.0
